one	/wʌn/<br>num.一  pron.一个人<br>例: They had one daughter. 他们有一个女儿。
crop	/krɒp/<br>n.农作物，庄稼；一熟<br>例: The main crops were oats and barley. 主要作物是燕麦和大麦。
owner	/'əʊnə/<br>n.物主，所有人<br>例: He was now the proud owner of a bright red sports car. 他现在拥有了一辆亮红色跑车，很是自豪。
war	/wɔː/<br>n.战争，斗争；军事，战术；冲突，对抗，竞争  v.打仗，作战；对抗<br>例: the Vietnam War 越南战争
yellow	/'jeləʊ/<br>adj.黄的，黄色的  n.黄色<br>例: yellow flowers 黄花
efficiency	/ɪ'fɪʃnsi/<br>n.效率； 功效， 效能<br>例: considerable advancements in energy efficiency 能源效率的显著提高
expand	/ɪk'spænd/<br>v.扩大， 膨胀<br>例: Water expands as it freezes. 水结冰时会膨胀。
speed	/spiːd/<br>v.超速，加速；加速，迅速前行；兴隆  n.速度，速率；迅速，快速；昌盛，繁荣<br>例: I got caught speeding on the A40 yesterday. 昨天我在 A40 号干线公路上超速行驶被逮到。
refer	/rɪ'fɜː/<br>v.使求助于  v.谈到<br>例: In his speech, he referred to a recent trip to Canada. 在他的讲话中，他提到了最近的加拿大之行。
intervention	/ˌɪntə'venʃn/<br>n.干涉<br>例: government intervention to regulate prices 政府介入控制物价
sure	/ʃɔ:(r)/<br>adj.确信的；可靠的；必定的  adv.当然；的确  n.(Sure)人名；(英)休尔<br>例: ‘That’s Sarah’s cousin.’ ‘Are you sure?’ “那是萨拉的表妹。”“你肯定吗？”
powerful	/'paʊəfʊl; -f(ə)l/<br>adj.强有力的；有权威的<br>例: He was one of the most powerful men in Bohemia. 他是波希米亚最有权势的人物之一。
agency	/'eɪdʒənsɪ/<br>n.机构<br>例: a UN agency responsible for helping refugees 负责为难民提供帮助的联合国机构
proportion	/prə'pɔ:ʃən/<br>n.比例，部分<br>例: A large proportion of the dolphins in that area will eventually die. 那个地区的很大一部分海豚最终都会死去。
debt	/det/<br>n.债务<br>例: He had enough money to pay off his outstanding debts. 他有足够的钱偿还亏欠的债务。
material	/məˈtɪəriəl/<br>n.材料<br>例: curtain material 窗帘布
release	/rɪ'li:s/<br>v.释放，发布<br>例: Police arrested several men, who were later released. 警察逮捕了几个人，后来都释放了。
sustainable	/səˈsteɪnəbl/<br>adj.可持续的<br>例: The government should do more to promote sustainable agriculture. 政府应该做更多工作来推动可持续农业的发展。
novel	/'nɒv(ə)l/<br>adj.新颖的<br>例: Protesters found a novel way of demonstrating against steeply rising oil prices. 抗议者们找到一种新奇的示威方式来反对石油价格的飙升。
unemployment	/ʌnɪm'plɒɪm(ə)nt; -em-/<br>n.失业；失业人数<br>例: Closure of the plant means 80 workers are facing unemployment. 这家工厂的关闭意味着 80 个工人面临失业。
purpose	/'pɜːpəs/<br>n.目的；意图；效果<br>例: Nick had no particular purpose in mind when he started. 尼克开始的时候头脑中并没有明确的目标。
death	/deθ/<br>n.死，死亡；灭亡<br>例: 1.5 million people are in immediate danger of death from starvation. 150万人正因饥饿而即将面临死亡的危险。
widely	/'waɪdlɪ/<br>adv.大大地<br>例: The quality of the applicants varies widely. 申请人的素质差异很大。
safety	/'seɪftɪ/<br>n.安全；保险；安全设备；保险装置；安打<br>例: You shouldn’t travel alone, for safety’s sake . 为安全起见，不要独自一人旅行。
hundred	/'hʌndrəd/<br>num.百，百个  n.许多<br>例: I’m not a hundred percent sure where she lives. 我不能完全确定她住在哪里。
lake	/leɪk/<br>n.湖<br>例: Lake Michigan 密歇根湖
cook	/kʊk/<br>v.烹调，煮  v.烧菜<br>例: Where did you learn to cook? 你在哪里学烹调的？
middle	/'mɪd(ə)l/<br>n.中部  adj.中部的<br>例: There are plenty of small houses for sale, and quite a lot of very large ones, but very little in the middle. 在售的小房子很多，大房子也有不少，但是不大不小的很少。
anything	/'enɪθɪŋ/<br>pron.任何事物；一切<br>例: You can buy anything you want. 你想要什么都可以买。
walk	/wɔːk/<br>n.步行，走；散步  v.散步；走过<br>例: It’s a long walk. Maybe we should get the bus. 走着去很远，或许我们应该乘公共汽车。
connection	/kə'nekʃn/<br>n.连接； 联系； 连接物， 连接点； 亲戚<br>例: Police have so far failed to establish a connection between the two murders. 到目前为止警方尚未确定两宗凶杀案之间有关联。
teen	/'tiːn/<br>adj.青少年的  n.少年男女，青少年<br>例: a rock star and teen idol 一位摇滚歌星兼青春偶像
associate	/ə'səuʃieɪt/<br>v.把…联系在一起；使联合，结合；交往	[ə'səuʃiət]  adj.副的  n.伙伴，同事<br>例: Through science we've got the idea of associating progress with the future. 通过科学我们已有了将进步与未来联系起来的观念。
staff	/stɑːf/<br>n.工作人员；参谋<br>例: 10 staff were allocated to the task. 10名员工被分派做这项任务。
object	/'ɒbdʒɪkt; -dʒekt/<br>vi.反对， 不赞成  n.实物， 物体； 目的， 目标； 对象， 客体； 宾语<br>例: If no one objects, I would like Mrs Harrison to be present. 如果没人反对的话，我想请哈里森夫人出席。
vital	/'vaitəl/<br>adj.重要的<br>例: The work she does is absolutely vital. 她所做的工作至关重要。
extreme	/ɪk'stri:m/<br>adj.极端的<br>例: Extreme poverty still exists in many rural areas. 许多农村地区仍处于赤贫状态。
score	/skɔː/<br>n.得分，比数，成绩；二十  vt.分， 给…打分； 画线于； 获胜<br>例: At half-time the score was one all. 半场时的比分是一比一。
behind	/bɪ'haɪnd/<br>prep.在…后面<br>例: I turned to speak to the person standing behind me. 我转身和站在我后面的那人说话。
reserve	/rɪ'zɜːv/<br>n.缄默，自我克制<br>例: She overcame her own natural reserve. 她克服了沉默寡言的天性。
station	/'steɪʃ(ə)n/<br>n.车站；驻地；地位；身份  v.配置；安置；驻扎<br>例: I want to get off at the next station. 我要在下一站下车。
habitat	/'hæbɪtæt/<br>n.栖息地； 住处<br>例: watching monkeys in their natural habitat 观察自然生活环境中的猴子
suppose	/sə'pəuz/<br>v.料想，以为；假定；期望<br>例: There were many more deaths than was first supposed. 死亡人数远远超过最初的预料。
male	/meɪl/<br>adj.男的，雄的  n.男子<br>例: a deep male voice 低沉的男声
count	/kaʊnt/<br>n.起拆理由，罪状<br>例: Davis was found not guilty on all counts . 戴维斯受到指控的各项罪名均不成立。
lifelong	/ˈlaɪflɒŋ/<br>adj.终身的；毕生的<br>例: Learning is a lifelong process. 学习是终身的过程。
pursuit	/pəˈsju:t/<br>n.追求<br>例: The quarterback sprinted toward the end zone with Jansen in hot pursuit (= following closely behind ) . 那名四分卫快速冲向底线区，詹森穷追不舍。
compel	/kəm'pel/<br>v.强迫<br>例: ...the introduction of legislation to compel cyclists to wear a helmet. …强制骑车人戴头盔的法律的引入。
perspective	/pə'spektɪv/<br>n.视角，观点<br>例: the artist’s use of perspective 那位画家对透视法的运用
debate	/dɪ'beɪt/<br>n&v.争论， 辩论<br>例: the gun-control debate in the US 美国有关控制枪支的争论
conservation	/ˌkɒnsəˈveɪʃn/<br>n.保护<br>例: wildlife conservation 野生生物保护
cell	/sel/<br>n.细胞；小房间<br>例: cancer cells 癌细胞
phenomenon	/fə'nɒmɪnən/<br>n.现象<br>例: Homelessness is not a new phenomenon . 无家可归已不是什么新现象。
identity	/aɪ'dentɪtɪ/<br>n.身份<br>例: The identity of the killer is still unknown. 凶手的身份仍未查明。
grass-fed	/ˈɡrɑːs fed/<br>adj.草饲的；吃草长大的<br>例: Grass-fed beef is considered healthier. 草饲牛肉被认为更健康。
variability	/ˌveəriəˈbɪləti/<br>n.可变性；变化性；变异性<br>例: There is great variability in the data. 数据存在很大的变异性。
improvement	/ɪm'pruːvm(ə)nt/<br>n.改进，改善；改进处<br>例: Our results have shown some improvement this month. 我们的成绩这个月有所提高。
acquire	/ə'kwaɪə/<br>vt.取得， 获得； 学到<br>例: Manning hoped to acquire valuable works of art as cheaply as possible. 曼宁希望以尽可能低的价格买到有价值的艺术品。
vacation	/və'keɪʃn; veɪ'keɪʃn/<br>n.假期， 休假<br>例: We’re planning a vacation in Europe. 我们正计划去欧洲度假。
statistic	/stə'tɪstɪk/<br>n.统计数值， 统计资料； 统计学<br>例: The statistic comes from a study recently conducted by the British government. 这项统计数据来自英国政府最近进行的一项研究。
grind	/graɪnd/<br>v.磨碎，碾碎，把...磨成粉<br>例: Store the peppercorns in an airtight container and grind the pepper as you need it. 将胡椒子储藏在密封容器里，当你需要的时候把它磨成粉。
sufficient	/sə'fɪʃnt/<br>adj.足够的， 充分的<br>例: We can only prosecute if there is sufficient evidence. 有了足够的证据，我们才能提出起诉。
one's	/wʌnz/<br>某人的（one 的所有格）<br>例: One should do one's best. 人应当尽其所能。
pas	/pɑː/<br>n.（法语）舞步；步法<br>例: She practiced a difficult pas. 她练习了一个高难度的舞步。
insurance	/ɪn'ʃuərəns/<br>n.保险； 保险费<br>例: Your father took out insurance to cover the mortgage. 你父亲购买了抵押借款保险。
urge	/ɜ:dʒ/<br>v.催促<br>例: The charity urged quick action. 慈善机构敦促迅速采取行动。
celebrity	/sɪ'lebrɪtɪ/<br>n.名人，名流；著名，名声，名望<br>例: a sporting celebrity 体育明星
worldwide	/'wɜːl(d)waɪd/<br>adv.世界范围地，全世界<br>例: His books have sold more than 20 million copies worldwide. 他的书在全世界卖出了两千多万本。
fully	/'fʊlɪ/<br>adv.充分地；完全地；彻底地  n.(Fully)人名；(法)菲利<br>例: The restaurant is fully booked this evening. 今晚这家餐厅订满了。
cooperation	/kəʊ,ɒpə'reɪʃ(ə)n/<br>n.合作，协作；[劳经] 协力<br>例: the need to strengthen international co-operation 加强国际合作的需要
toward	/tə'wɔːd; twɔːd; tɔːd/<br>prep.向；对于；为了；接近  adj.即将来到的，进行中的  n.(Toward)人名；(英)特沃德
shape	/ʃeɪp/<br>n.形状；模型；身材；具体化  v.形成；塑造，使成形；使符合<br>例: What shape is the table? 那张桌子是什么形状的？
federal	/'fedərəl/<br>adj.联邦的， 联盟的<br>例: Switzerland is a federal republic. 瑞士是一个联邦共和国。
message	/'mesɪdʒ/<br>n.启示，要旨，教训<br>例: The message of the film is that good always triumphs over evil. 这部电影的主题思想是善良终必战胜邪恶。
rest	/rest/<br>v.使休息，使轻松；把…寄托于  n.休息，静止；休息时间；剩余部分；支架<br>例: If you’re tired, we’ll stop and rest for a while. 如果你累了，我们就停下来歇一会儿。
style	/staɪl/<br>n.风格；时尚；类型；字体  v.设计；称呼；使合潮流<br>例: an attempt to use Japanese management style in a European business 将日本的管理方式用于欧洲企业的尝试
practical	/ˈpræktɪkl/<br>adj.实践的；实用的<br>例: Candidates should have training and practical experience in basic electronics. 应征者应该具备基础电子学方面的培训和实践经验。
weather	/'weðə/<br>n.天气；气象；气候；处境  v.经受住；使风化；侵蚀；使受风吹雨打  adj.露天的；迎风的<br>例: What’s the weather like today? 今天天气如何？
basis	/'beɪsɪs/<br>n.基础， 根据； 原则<br>例: Their claim had no basis in fact (=  it was not true  ) . 他们的说法没有事实根据。
replace	/rɪ'pleɪs/<br>v.把...放回原处<br>例: He replaced the book on the shelf. 他把书放回架子上。
fly	/flaɪ/<br>v.飞跑；逃跑，消失<br>例: Ellen flew across the room and greeted her uncle with a kiss. 埃伦从房间那头飞奔过来，给了她叔叔一个吻。
partner	/'pɑːtnə/<br>n.伙伴；搭挡；配偶<br>例: Discuss your worries with your partner. 和伴侣谈谈你的忧虑。
white	/wʌɪt/<br>adj.白种（人）的<br>例: young white males 年轻的白种男性
gene	/dʒiːn/<br>n.基因<br>例: human genes 人类基因
conducive	/kənˈdju:sɪv/<br>adj.有益于...的<br>例: an environment conducive to learning 有助于学习的环境
sport	/spɔːt/<br>n.运动；游戏；娱乐；运动会；玩笑  v.游戏  adj.运动的<br>例: the sport of falconry 放鹰狩猎运动
trait	/treɪt/<br>n.特点<br>例: The study found that some alcoholics had clear personality traits showing up early in childhood. 这项研究发现一些酗酒者早在孩童时就表现出明显的个性特征。
organic	/ɔ:ˈgænɪk/<br>adj.有机的<br>例: Organic farming is better for the environment. 有机耕作对环境更有利。
capability	/ˌkeɪpəˈbɪləti/<br>n.能力，才能<br>例: the country’s manufacturing capability 该国的生产能力
total	/'təʊt(ə)l/<br>adj.总的  v.合计，总共<br>例: a total ban on cigarette advertising 香烟广告的全面禁止
crowd	/kraud/<br>vi.聚集， 挤， 涌  n.群，一批  vt.挤；挤满<br>例: Holidaymakers crowded the beaches. 海滩上挤满了度假者。
socially	/ˈsəʊʃəli/<br>adv.社会上地；社交方面地<br>例: He is socially active. 他社交活跃。
dietary	/'daɪət(ə)rɪ/<br>n.规定的食物；饮食的规定；食谱  adj.饮食的，饭食的，规定食物的<br>例: special dietary requirements 特殊的饮食要求
bilingual	/baɪ'lɪŋgw(ə)l/<br>adj.双语的  n.通两种语言的人<br>例: a bilingual dictionary 双语词典
medicine	/'meds(ə)n; 'medɪsɪn/<br>n.内服药；医学<br>例: She studied medicine at Johns Hopkins University. 她曾在约翰•霍普金斯大学学医。
disaster	/dɪ'zɑːstə/<br>n.灾难， 灾祸， 天灾； 彻底的失败<br>例: One hundred and twenty people died in China’s worst air disaster . 有120人在中国这起最惨烈的空难事故中丧生。
difficulty	/'dɪfɪk(ə)ltɪ/<br>adj.困难；难事；困境
wide	/waɪd/<br>adj.广泛的；宽的，广阔的；张大的；远离目标的  adv.广泛地；广阔地；充分地  n.大千世界<br>例: a man with a wide experience of foreign affairs 外交事务经验丰富的人
summer	/'sʌmə/<br>n.夏天，夏季  adj.夏季的<br>例: We tour by car every summer. 每年夏天我们都驾车出外旅行。
demonstrate	/'demənstreɪt/<br>vt.说明， 论证； 表露<br>例: The study demonstrates the link between poverty and malnutrition. 这项研究证明了贫困与营养不良之间的联系。
entire	/ɪn'taɪə; en-/<br>adj.全部的，整个的<br>例: It was the worst day in my entire life. 那是我一生中最糟糕的一天。
ecological	/ˌi:kəˈlɒdʒɪkl/<br>adj.生态学的<br>例: an ecological disaster 生态灾难
thrive	/θraɪv/<br>v.繁荣，兴旺<br>例: plants that thrive in tropical rain forests 在热带雨林蓬勃生长的植物
completely	/kəm'pliːtlɪ/<br>adv.十分，完全地<br>例: I completely forgot that it’s his birthday today. 我完全忘了今天是他的生日。
generate	/'dʒenəreɪt/<br>v.产生<br>例: a useful technique for generating new ideas 能产生新创意的有用技术
danger	/'deɪn(d)ʒə/<br>n.危险；危险事物<br>例: Danger! No boats beyond this point. 危险！船只不可越过此处。
political	/pə'lɪtɪk(ə)l/<br>adj.政治的，政治上的<br>例: All other political parties there have been completely banned. 那里的其他所有政党都已经完全被取缔了。
depression	/dɪ'preʃ(ə)n/<br>n.消沉；不景气萧条期<br>例: Lucy’s mood was one of deep depression. 露西的情绪极度消沉。
head	/hed/<br>v.用头顶（球）；朝...行进<br>例: He headed the ball across the face of the goal. 他一个头球，球从球门前横飞而过。
competitive	/kəm'petɪtɪv/<br>adj.竞争的，比赛的<br>例: Competitive sports encourage children to work together as a team. 竞技体育鼓励孩子们进行团队协作。
greatly	/'greɪtlɪ/<br>adv.大大地，非常<br>例: All offers of help will be greatly appreciated . 如蒙帮助，感激不尽。
decrease	/'dɪkriːs/<br>v.减少  n.[dI'kriːs]<br>例: The number of people who have the disease has decreased significantly in recent years. 近年来，这种病的患者人数明显下降。
welfare	/'welfeə(r)/<br>n.福利<br>例: Our only concern is the children’s welfare. 我们唯一关心的是孩子们的幸福。
propose	/prə'pəʊz/<br>v.提出<br>例: the changes currently proposed by the local planning authorities 目前由地方规划局提议的改革
provider	/prəˈvaɪdə/<br>n.提供者；供应商<br>例: The company is a major service provider. 该公司是主要的服务提供商。
electronic	/ɪˌlek'trɒnɪk/<br>adj.电子的  n.电子学； 电子设备<br>例: electronic games 电子游戏
jam	/dʒæm/<br>n.堵塞  v.使…堵塞<br>例: Sorry we’re late. We got stuck in a traffic jam. 对不起，我们来晚了，路上堵车。
main	/meɪn/<br>n.总管道，干线<br>例: The report found that many of Yorkshire’s water mains needed replacing. 报告中说约克郡的很多自来水总管道需要更换。
harmful	/'hɑːmfʊl/<br>adj.有害的<br>例: the harmful effects of smoking 吸烟的害处
opinion	/ə'pɪnjən/<br>n.意见，看法，主张<br>例: When choosing an insurance policy it’s best to get an independent opinion. 选择保险时，最好听听专家的独立意见。
fit	/fɪt/<br>v.适合；安装  v.适合<br>例: The sash, kimono, and other garments were made to fit a child. 这些腰带、和服和其他衣服都做得适合孩子穿。
rapid	/'ræpɪd/<br>adj.快的  n.急流<br>例: The patient made a rapid recovery. 病人迅速康复。
recover	/ˌriː'kʌvə/<br>v.重新获得， 挽回； 恢复<br>例: Four paintings stolen from the gallery have been recovered. 美术馆的四幅被盗画作已经失而复得。
campaign	/kæm'peɪn/<br>n.活动<br>例: Jones ran a good campaign. 琼斯的活动搞得很成功。
meal	/miːl/<br>n.膳食，一餐<br>例: We must have a meal together some time. 我们一定要找个时间一起吃顿饭。
series	/'sɪəriːz/<br>n.一系列， 连续； 丛书， 连续剧<br>例: the series of events that led to the outbreak of war 导致战争爆发的一系列事件
second	/'sek(ə)nd/<br>v.支持<br>例: Any proposal must be seconded by two other members of the committee. 任何提案须有委员会其他两位委员附议。
interview	/'ɪntəvjuː/<br>v.接见，会见，会谈<br>例: a police interview 警方问讯
immediate	/ɪ'miːdɪət/<br>adj.立即的；直接的<br>例: Our immediate response to the attack was sheer horror. 我们对攻击的第一反应就是非常惊恐。
director	/dɪ'rektə; daɪ-/<br>n.指导者；理事；导演<br>例: The company is run by a board of directors (= a group of directors ) . 这家公司由董事会管理。
west	/west/<br>n.西；西方；西部  adj.西方的；朝西的  adv.在西方；向西方；自西方<br>例: There’s a slight chance of some sunshine in the west. 西部地区见晴的可能性不大。
bite	/baɪt/<br>v.咬，叮，螫；剌穿<br>例: The dog bit him and made his hand bleed. 那只狗把他的手咬出血了。
sacrifice	/'sækrɪfaɪs/<br>n&v.牺牲， 舍身； 献祭， 供奉； 祭品<br>例: The minister stressed the need for economic sacrifice. 部长强调了在经济上作出牺牲的必要性。
perfect	/ˈpəːfɪkt; (for v.) pəˈfekt/<br>v.使熟练，使改善<br>例: Mock trials help students perfect their legal skills. 模拟庭审有助于学生们完善自己的法律技能。
rarely	/'reəli/<br>adv.不常， 难得
ancient	/'eɪnʃənt/<br>adj.古代的<br>例: the ancient civilizations of Asia 亚洲的古代文明
plastic	/'plæstɪk/<br>adj.塑料的；塑性的<br>例: a plastic spoon 塑料汤匙
firm	/fɜːm/<br>n.商行，商号，公司<br>例: The firm's employees were expecting large bonuses. 这家公司的雇员们正期待着大笔的奖金。
transportation	/ˌtrænspɔ:ˈteɪʃn/<br>n.运输<br>例: The city needs to improve its public transportation (= buses, trains etc ) . 这座城市需要改善公共交通。
effectively	/ɪˈfektɪvli/<br>adv.有效地；实际上<br>例: We must use resources effectively. 我们必须有效地利用资源。
hardly	/'hɑːdlɪ/<br>adv.几乎不，简直不<br>例: My parents divorced when I was six, and I hardly knew my father. 我六岁时父母离婚，我对父亲几乎一无所知。
holiday	/'hɒlɪdeɪ; -dɪ/<br>n.假日，节日；假期<br>例: The school holidays start tomorrow. 学校假期从明天开始。
illustrate	/'ɪləstreɪt/<br>v.阐明，说明<br>例: Let me give an example to illustrate the point. 让我举个例子来说明这一点。
application	/ˌæplɪ'keɪʃn/<br>n.申请， 申请书； 施用， 涂抹； 应用， 实施； 实用性<br>例: We receive hundreds of job applications each year. 我们每年收到数百封求职信。
expectation	/ˌekspekˈteɪʃn/<br>n.期望<br>例: Having raised expectations (= made people more hopeful ), he went on to help only a few people. 他唤起了大家的希望，但接着只是帮助了几个人。
